"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.maps/accounts","Azure Maps Account","Azure Maps Accounts","azure maps accounts","Azure Maps account","false","Azure Maps is a portfolio of geospatial services that include service APIs for Maps, Search, Routing, Traffic and Time Zones. The portfolio of Azure OneAPI compliant services allows you to use familiar developer tools to quickly develop and scale solutions that integrate location information into your Azure solutions. Azure Maps provides developers from all industries powerful geospatial capabilities packed with fresh mapping data imperative to providing geographic context to web and mobile applications.","https://microsoft.github.io/finops-toolkit/svg/microsoft.maps/accounts.svg","[{""title"":""Learn more about Azure Maps"",""uri"":""https://aka.ms/albs""}]"
"microsoft.maps/accounts/creators","Azure Maps Creator Resource","Azure Maps Creator Resources","Azure Maps creator resources","Azure Maps creator resource","false","Creator allows you to create private maps and map applications using Azure Maps API and SDK.","https://microsoft.github.io/finops-toolkit/svg/microsoft.maps/accounts/creators.svg",""
"microsoft.marketplace/privatestores","Microsoft.Marketplace private store","Microsoft.Marketplace private stores","microsoft.marketplace private store","microsoft.marketplace private stores","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.marketplace/privatestores.svg",""
"microsoft.marketplace/privatestores/adminrequestapprovals","Microsoft.Marketplace private stores admin request approval","Microsoft.Marketplace private stores admin request approvals","microsoft.marketplace private stores admin request approval","microsoft.marketplace private stores admin request approvals","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.marketplace/privatestores/adminrequestapprovals.svg",""
"microsoft.marketplace/privatestores/collections","Microsoft.Marketplace private stores collection","Microsoft.Marketplace private stores collections","microsoft.marketplace private stores collection","microsoft.marketplace private stores collections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.marketplace/privatestores/collections.svg",""
"microsoft.marketplace/privatestores/collections/offers","Microsoft.Marketplace private stores collections offer","Microsoft.Marketplace private stores collections offers","microsoft.marketplace private stores collections offer","microsoft.marketplace private stores collections offers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.marketplace/privatestores/collections/offers.svg",""
"microsoft.marketplace/privatestores/offers","Microsoft.Marketplace private stores offer","Microsoft.Marketplace private stores offers","microsoft.marketplace private stores offer","microsoft.marketplace private stores offers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.marketplace/privatestores/offers.svg",""
"microsoft.marketplace/privatestores/requestapprovals","Microsoft.Marketplace private stores request approval","Microsoft.Marketplace private stores request approvals","microsoft.marketplace private stores request approval","microsoft.marketplace private stores request approvals","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.marketplace/privatestores/requestapprovals.svg",""
"microsoft.media/mediaservices","Media service","Media Services","media service","Media Services","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices.svg",""
"microsoft.media/mediaservices/accountfilters","Microsoft.Media media services account filter","Microsoft.Media media services account filters","microsoft.media media services account filter","microsoft.media media services account filters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/accountfilters.svg",""
"microsoft.media/mediaservices/assets","Microsoft.Media media services asset","Microsoft.Media media services assets","microsoft.media media services asset","microsoft.media media services assets","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/assets.svg",""
"microsoft.media/mediaservices/assets/assetfilters","Microsoft.Media media services assets asset filter","Microsoft.Media media services assets asset filters","microsoft.media media services assets asset filter","microsoft.media media services assets asset filters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/assets/assetfilters.svg",""
"microsoft.media/mediaservices/assets/tracks","Microsoft.Media media services assets track","Microsoft.Media media services assets tracks","microsoft.media media services assets track","microsoft.media media services assets tracks","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/assets/tracks.svg",""
"microsoft.media/mediaservices/assets/tracks/operationresults","Microsoft.Media media services assets tracks operation result","Microsoft.Media media services assets tracks operation results","microsoft.media media services assets tracks operation result","microsoft.media media services assets tracks operation results","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/assets/tracks/operationresults.svg",""
"microsoft.media/mediaservices/assets/tracks/operationstatuses","Microsoft.Media media services assets tracks operation statuse","Microsoft.Media media services assets tracks operation statuses","microsoft.media media services assets tracks operation statuse","microsoft.media media services assets tracks operation statuses","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/assets/tracks/operationstatuses.svg",""
"microsoft.media/mediaservices/contentkeypolicies","Microsoft.Media media services content key policy","Microsoft.Media media services content key policies","microsoft.media media services content key policy","microsoft.media media services content key policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/contentkeypolicies.svg",""
"microsoft.media/mediaservices/liveevents","Live event","Live events","live event","live events","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/liveevents.svg",""
"microsoft.media/mediaservices/liveevents/liveoutputs","Microsoft.Media mediaservices live events live output","Microsoft.Media mediaservices live events live outputs","microsoft.media mediaservices live events live output","microsoft.media mediaservices live events live outputs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/liveevents/liveoutputs.svg",""
"microsoft.media/mediaservices/privateendpointconnections","Microsoft.Media mediaservices private endpoint connection","Microsoft.Media mediaservices private endpoint connections","microsoft.media mediaservices private endpoint connection","microsoft.media mediaservices private endpoint connections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/privateendpointconnections.svg",""
"microsoft.media/mediaservices/privatelinkresources","Microsoft.Media mediaservices private link resource","Microsoft.Media mediaservices private link resources","microsoft.media mediaservices private link resource","microsoft.media mediaservices private link resources","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/privatelinkresources.svg",""
"microsoft.media/mediaservices/streamingendpoints","Streaming Endpoint","Streaming Endpoints","streaming endpoint","streaming endpoints","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/streamingendpoints.svg",""
"microsoft.media/mediaservices/streaminglocators","Microsoft.Media media services streaming locator","Microsoft.Media media services streaming locators","microsoft.media media services streaming locator","microsoft.media media services streaming locators","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/streaminglocators.svg",""
"microsoft.media/mediaservices/streamingpolicies","Microsoft.Media media services streaming policy","Microsoft.Media media services streaming policies","microsoft.media media services streaming policy","microsoft.media media services streaming policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/streamingpolicies.svg",""
"microsoft.media/mediaservices/transforms","Microsoft.Media media services transform","Microsoft.Media media services transforms","microsoft.media media services transform","microsoft.media media services transforms","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/transforms.svg",""
"microsoft.media/mediaservices/transforms/jobs","Microsoft.Media media services transforms job","Microsoft.Media media services transforms jobs","microsoft.media media services transforms job","microsoft.media media services transforms jobs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.media/mediaservices/transforms/jobs.svg",""
"microsoft.mesh/worlds","Microsoft.Mesh world","Microsoft.Mesh worlds","microsoft.mesh world","microsoft.mesh worlds","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.mesh/worlds.svg",""
"microsoft.mesh/worlds/events","Microsoft.Mesh worlds event","Microsoft.Mesh worlds events","microsoft.mesh worlds event","microsoft.mesh worlds events","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.mesh/worlds/events.svg",""
"microsoft.mesh/worlds/events/accesspolicies","Microsoft.Mesh worlds events access policy","Microsoft.Mesh worlds events access policies","microsoft.mesh worlds events access policy","microsoft.mesh worlds events access policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.mesh/worlds/events/accesspolicies.svg",""
"microsoft.mesh/worlds/spaces","Microsoft.Mesh worlds space","Microsoft.Mesh worlds spaces","microsoft.mesh worlds space","microsoft.mesh worlds spaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.mesh/worlds/spaces.svg",""
"microsoft.mesh/worlds/spaces/accesspolicies","Microsoft.Mesh worlds spaces access policy","Microsoft.Mesh worlds spaces access policies","microsoft.mesh worlds spaces access policy","microsoft.mesh worlds spaces access policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.mesh/worlds/spaces/accesspolicies.svg",""
"microsoft.mesh/worlds/templates","Microsoft.Mesh worlds template","Microsoft.Mesh worlds templates","microsoft.mesh worlds template","microsoft.mesh worlds templates","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.mesh/worlds/templates.svg",""
"microsoft.mesh/worlds/templates/accesspolicies","Microsoft.Mesh worlds templates access policy","Microsoft.Mesh worlds templates access policies","microsoft.mesh worlds templates access policy","microsoft.mesh worlds templates access policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.mesh/worlds/templates/accesspolicies.svg",""
"microsoft.messagingcatalog/catalogs","Microsoft.MessagingCatalog catalog","Microsoft.MessagingCatalog catalogs","microsoft.messagingcatalog catalog","microsoft.messagingcatalog catalogs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.messagingcatalog/catalogs.svg",""
"microsoft.messagingconnectors/connectors","Microsoft.MessagingConnectors connector","Microsoft.MessagingConnectors connectors","microsoft.messagingconnectors connector","microsoft.messagingconnectors connectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.messagingconnectors/connectors.svg",""
"microsoft.metaverse/metaverses","Microsoft.Metaverse metaverse","Microsoft.Metaverse metaverses","microsoft.metaverse metaverse","microsoft.metaverse metaverses","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.metaverse/metaverses.svg",""
"microsoft.metaverse/metaverses/events","Microsoft.Metaverse metaverses event","Microsoft.Metaverse metaverses events","microsoft.metaverse metaverses event","microsoft.metaverse metaverses events","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.metaverse/metaverses/events.svg",""
"microsoft.metaverse/metaverses/events/accesspolicies","Microsoft.Metaverse metaverses events access policy","Microsoft.Metaverse metaverses events access policies","microsoft.metaverse metaverses events access policy","microsoft.metaverse metaverses events access policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.metaverse/metaverses/events/accesspolicies.svg",""
"microsoft.metaverse/metaverses/spaces","Microsoft.Metaverse metaverses space","Microsoft.Metaverse metaverses spaces","microsoft.metaverse metaverses space","microsoft.metaverse metaverses spaces","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.metaverse/metaverses/spaces.svg",""
"microsoft.metaverse/metaverses/spaces/accesspolicies","Microsoft.Metaverse metaverses spaces access policy","Microsoft.Metaverse metaverses spaces access policies","microsoft.metaverse metaverses spaces access policy","microsoft.metaverse metaverses spaces access policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.metaverse/metaverses/spaces/accesspolicies.svg",""
"microsoft.metaverse/metaverses/templates","Microsoft.Metaverse metaverses template","Microsoft.Metaverse metaverses templates","microsoft.metaverse metaverses template","microsoft.metaverse metaverses templates","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.metaverse/metaverses/templates.svg",""
"microsoft.metaverse/metaverses/templates/accesspolicies","Microsoft.Metaverse metaverses templates access policy","Microsoft.Metaverse metaverses templates access policies","microsoft.metaverse metaverses templates access policy","microsoft.metaverse metaverses templates access policies","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.metaverse/metaverses/templates/accesspolicies.svg",""
"microsoft.migrate/assessmentprojects","Microsoft.Migrate assessment project","Microsoft.Migrate assessment projects","microsoft.migrate assessment project","microsoft.migrate assessment projects","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects.svg",""
"microsoft.migrate/assessmentprojects/aksassessmentoptions","Microsoft.Migrate assessment projects aks assessment option","Microsoft.Migrate assessment projects aks assessment options","microsoft.migrate assessment projects aks assessment option","microsoft.migrate assessment projects aks assessment options","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/aksassessmentoptions.svg",""
"microsoft.migrate/assessmentprojects/aksassessments","Microsoft.Migrate assessment projects aks assessment","Microsoft.Migrate assessment projects aks assessments","microsoft.migrate assessment projects aks assessment","microsoft.migrate assessment projects aks assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/aksassessments.svg",""
"microsoft.migrate/assessmentprojects/aksassessments/assessedwebapps","Microsoft.Migrate assessment projects aks assessments assessed web app","Microsoft.Migrate assessment projects aks assessments assessed web apps","microsoft.migrate assessment projects aks assessments assessed web app","microsoft.migrate assessment projects aks assessments assessed web apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/aksassessments/assessedwebapps.svg",""
"microsoft.migrate/assessmentprojects/aksassessments/clusters","Microsoft.Migrate assessment projects aks assessments cluster","Microsoft.Migrate assessment projects aks assessments clusters","microsoft.migrate assessment projects aks assessments cluster","microsoft.migrate assessment projects aks assessments clusters","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/aksassessments/clusters.svg",""
"microsoft.migrate/assessmentprojects/aksassessments/summaries","Microsoft.Migrate assessment projects aks assessments summary","Microsoft.Migrate assessment projects aks assessments summaries","microsoft.migrate assessment projects aks assessments summary","microsoft.migrate assessment projects aks assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/aksassessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/assessmentoptions","Microsoft.Migrate assessment projects assessment option","Microsoft.Migrate assessment projects assessment options","microsoft.migrate assessment projects assessment option","microsoft.migrate assessment projects assessment options","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/assessmentoptions.svg",""
"microsoft.migrate/assessmentprojects/assessments","Microsoft.Migrate assessment projects assessment","Microsoft.Migrate assessment projects assessments","microsoft.migrate assessment projects assessment","microsoft.migrate assessment projects assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/assessments.svg",""
"microsoft.migrate/assessmentprojects/assessments/assessedmachines","Microsoft.Migrate assessment projects assessments assessed machine","Microsoft.Migrate assessment projects assessments assessed machines","microsoft.migrate assessment projects assessments assessed machine","microsoft.migrate assessment projects assessments assessed machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/assessments/assessedmachines.svg",""
"microsoft.migrate/assessmentprojects/assessments/summaries","Microsoft.Migrate assessment projects assessments summary","Microsoft.Migrate assessment projects assessments summaries","microsoft.migrate assessment projects assessments summary","microsoft.migrate assessment projects assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/assessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/avsassessmentoptions","Microsoft.Migrate assessment projects avs assessment option","Microsoft.Migrate assessment projects avs assessment options","microsoft.migrate assessment projects avs assessment option","microsoft.migrate assessment projects avs assessment options","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/avsassessmentoptions.svg",""
"microsoft.migrate/assessmentprojects/avsassessments","Microsoft.Migrate assessment projects avs assessment","Microsoft.Migrate assessment projects avs assessments","microsoft.migrate assessment projects avs assessment","microsoft.migrate assessment projects avs assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/avsassessments.svg",""
"microsoft.migrate/assessmentprojects/avsassessments/avsassessedmachines","Microsoft.Migrate assessment projects avs assessments avs assessed machine","Microsoft.Migrate assessment projects avs assessments avs assessed machines","microsoft.migrate assessment projects avs assessments avs assessed machine","microsoft.migrate assessment projects avs assessments avs assessed machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/avsassessments/avsassessedmachines.svg",""
"microsoft.migrate/assessmentprojects/avsassessments/summaries","Microsoft.Migrate assessment projects avs assessments summary","Microsoft.Migrate assessment projects avs assessments summaries","microsoft.migrate assessment projects avs assessments summary","microsoft.migrate assessment projects avs assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/avsassessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/businesscases","Microsoft.Migrate assessment projects business case","Microsoft.Migrate assessment projects business cases","microsoft.migrate assessment projects business case","microsoft.migrate assessment projects business cases","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases.svg",""
"microsoft.migrate/assessmentprojects/businesscases/avssummaries","Microsoft.Migrate assessment projects business cases avs summary","Microsoft.Migrate assessment projects business cases avs summaries","microsoft.migrate assessment projects business cases avs summary","microsoft.migrate assessment projects business cases avs summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/avssummaries.svg",""
"microsoft.migrate/assessmentprojects/businesscases/evaluatedavsmachines","Microsoft.Migrate assessment projects business cases evaluated avs machine","Microsoft.Migrate assessment projects business cases evaluated avs machines","microsoft.migrate assessment projects business cases evaluated avs machine","microsoft.migrate assessment projects business cases evaluated avs machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/evaluatedavsmachines.svg",""
"microsoft.migrate/assessmentprojects/businesscases/evaluatedmachines","Microsoft.Migrate assessment projects business cases evaluated machine","Microsoft.Migrate assessment projects business cases evaluated machines","microsoft.migrate assessment projects business cases evaluated machine","microsoft.migrate assessment projects business cases evaluated machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/evaluatedmachines.svg",""
"microsoft.migrate/assessmentprojects/businesscases/evaluatedsqlentities","Microsoft.Migrate assessment projects business cases evaluated sql entity","Microsoft.Migrate assessment projects business cases evaluated sql entities","microsoft.migrate assessment projects business cases evaluated sql entity","microsoft.migrate assessment projects business cases evaluated sql entities","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/evaluatedsqlentities.svg",""
"microsoft.migrate/assessmentprojects/businesscases/evaluatedwebapps","Microsoft.Migrate assessment projects business cases evaluated web app","Microsoft.Migrate assessment projects business cases evaluated web apps","microsoft.migrate assessment projects business cases evaluated web app","microsoft.migrate assessment projects business cases evaluated web apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/evaluatedwebapps.svg",""
"microsoft.migrate/assessmentprojects/businesscases/iaassummaries","Microsoft.Migrate assessment projects business cases iaas summary","Microsoft.Migrate assessment projects business cases iaas summaries","microsoft.migrate assessment projects business cases iaas summary","microsoft.migrate assessment projects business cases iaas summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/iaassummaries.svg",""
"microsoft.migrate/assessmentprojects/businesscases/overviewsummaries","Microsoft.Migrate assessment projects business cases overview summary","Microsoft.Migrate assessment projects business cases overview summaries","microsoft.migrate assessment projects business cases overview summary","microsoft.migrate assessment projects business cases overview summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/overviewsummaries.svg",""
"microsoft.migrate/assessmentprojects/businesscases/paassummaries","Microsoft.Migrate assessment projects business cases paas summary","Microsoft.Migrate assessment projects business cases paas summaries","microsoft.migrate assessment projects business cases paas summary","microsoft.migrate assessment projects business cases paas summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/businesscases/paassummaries.svg",""
"microsoft.migrate/assessmentprojects/groups","Microsoft.Migrate assessment projects group","Microsoft.Migrate assessment projects groups","microsoft.migrate assessment projects group","microsoft.migrate assessment projects groups","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups.svg",""
"microsoft.migrate/assessmentprojects/groups/assessments","Microsoft.Migrate assessment projects groups assessment","Microsoft.Migrate assessment projects groups assessments","microsoft.migrate assessment projects groups assessment","microsoft.migrate assessment projects groups assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/assessments.svg",""
"microsoft.migrate/assessmentprojects/groups/assessments/assessedmachines","Microsoft.Migrate assessment projects groups assessments assessed machine","Microsoft.Migrate assessment projects groups assessments assessed machines","microsoft.migrate assessment projects groups assessments assessed machine","microsoft.migrate assessment projects groups assessments assessed machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/assessments/assessedmachines.svg",""
"microsoft.migrate/assessmentprojects/groups/avsassessments","Microsoft.Migrate assessment projects groups avs assessment","Microsoft.Migrate assessment projects groups avs assessments","microsoft.migrate assessment projects groups avs assessment","microsoft.migrate assessment projects groups avs assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/avsassessments.svg",""
"microsoft.migrate/assessmentprojects/groups/avsassessments/avsassessedmachines","Microsoft.Migrate assessment projects groups avs assessments avs assessed machine","Microsoft.Migrate assessment projects groups avs assessments avs assessed machines","microsoft.migrate assessment projects groups avs assessments avs assessed machine","microsoft.migrate assessment projects groups avs assessments avs assessed machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/avsassessments/avsassessedmachines.svg",""
"microsoft.migrate/assessmentprojects/groups/sqlassessments","Microsoft.Migrate assessment projects groups sql assessment","Microsoft.Migrate assessment projects groups sql assessments","microsoft.migrate assessment projects groups sql assessment","microsoft.migrate assessment projects groups sql assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/sqlassessments.svg",""
"microsoft.migrate/assessmentprojects/groups/sqlassessments/assessedsqldatabases","Microsoft.Migrate assessment projects groups sql assessments assessed sql database","Microsoft.Migrate assessment projects groups sql assessments assessed sql databases","microsoft.migrate assessment projects groups sql assessments assessed sql database","microsoft.migrate assessment projects groups sql assessments assessed sql databases","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/sqlassessments/assessedsqldatabases.svg",""
"microsoft.migrate/assessmentprojects/groups/sqlassessments/assessedsqlinstances","Microsoft.Migrate assessment projects groups sql assessments assessed sql instance","Microsoft.Migrate assessment projects groups sql assessments assessed sql instances","microsoft.migrate assessment projects groups sql assessments assessed sql instance","microsoft.migrate assessment projects groups sql assessments assessed sql instances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/sqlassessments/assessedsqlinstances.svg",""
"microsoft.migrate/assessmentprojects/groups/sqlassessments/assessedsqlmachines","Microsoft.Migrate assessment projects groups sql assessments assessed sql machine","Microsoft.Migrate assessment projects groups sql assessments assessed sql machines","microsoft.migrate assessment projects groups sql assessments assessed sql machine","microsoft.migrate assessment projects groups sql assessments assessed sql machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/sqlassessments/assessedsqlmachines.svg",""
"microsoft.migrate/assessmentprojects/groups/sqlassessments/recommendedassessedentities","Microsoft.Migrate assessment projects groups sql assessments recommended assessed entity","Microsoft.Migrate assessment projects groups sql assessments recommended assessed entities","microsoft.migrate assessment projects groups sql assessments recommended assessed entity","microsoft.migrate assessment projects groups sql assessments recommended assessed entities","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/sqlassessments/recommendedassessedentities.svg",""
"microsoft.migrate/assessmentprojects/groups/sqlassessments/summaries","Microsoft.Migrate assessment projects groups sql assessments summary","Microsoft.Migrate assessment projects groups sql assessments summaries","microsoft.migrate assessment projects groups sql assessments summary","microsoft.migrate assessment projects groups sql assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/sqlassessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/groups/webappassessments","Microsoft.Migrate assessment projects groups web app assessment","Microsoft.Migrate assessment projects groups web app assessments","microsoft.migrate assessment projects groups web app assessment","microsoft.migrate assessment projects groups web app assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/webappassessments.svg",""
"microsoft.migrate/assessmentprojects/groups/webappassessments/assessedwebapps","Microsoft.Migrate assessment projects groups web app assessments assessed web app","Microsoft.Migrate assessment projects groups web app assessments assessed web apps","microsoft.migrate assessment projects groups web app assessments assessed web app","microsoft.migrate assessment projects groups web app assessments assessed web apps","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/webappassessments/assessedwebapps.svg",""
"microsoft.migrate/assessmentprojects/groups/webappassessments/summaries","Microsoft.Migrate assessment projects groups web app assessments summary","Microsoft.Migrate assessment projects groups web app assessments summaries","microsoft.migrate assessment projects groups web app assessments summary","microsoft.migrate assessment projects groups web app assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/webappassessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/groups/webappassessments/webappserviceplans","Microsoft.Migrate assessment projects groups web app assessments web app service plan","Microsoft.Migrate assessment projects groups web app assessments web app service plans","microsoft.migrate assessment projects groups web app assessments web app service plan","microsoft.migrate assessment projects groups web app assessments web app service plans","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/groups/webappassessments/webappserviceplans.svg",""
"microsoft.migrate/assessmentprojects/heterogeneousassessments","Microsoft.Migrate assessment projects heterogeneous assessment","Microsoft.Migrate assessment projects heterogeneous assessments","microsoft.migrate assessment projects heterogeneous assessment","microsoft.migrate assessment projects heterogeneous assessments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/heterogeneousassessments.svg",""
"microsoft.migrate/assessmentprojects/heterogeneousassessments/summaries","Microsoft.Migrate assessment projects heterogeneous assessments summary","Microsoft.Migrate assessment projects heterogeneous assessments summaries","microsoft.migrate assessment projects heterogeneous assessments summary","microsoft.migrate assessment projects heterogeneous assessments summaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/heterogeneousassessments/summaries.svg",""
"microsoft.migrate/assessmentprojects/hypervcollectors","Microsoft.Migrate assessment projects hypervcollector","Microsoft.Migrate assessment projects hypervcollectors","microsoft.migrate assessment projects hypervcollector","microsoft.migrate assessment projects hypervcollectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/hypervcollectors.svg",""
"microsoft.migrate/assessmentprojects/importcollectors","Microsoft.Migrate assessment projects importcollector","Microsoft.Migrate assessment projects importcollectors","microsoft.migrate assessment projects importcollector","microsoft.migrate assessment projects importcollectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/importcollectors.svg",""
"microsoft.migrate/assessmentprojects/importsqlcollectors","Microsoft.Migrate assessment projects import sql collector","Microsoft.Migrate assessment projects import sql collectors","microsoft.migrate assessment projects import sql collector","microsoft.migrate assessment projects import sql collectors","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/importsqlcollectors.svg",""
"microsoft.migrate/assessmentprojects/machines","Microsoft.Migrate assessment projects machine","Microsoft.Migrate assessment projects machines","microsoft.migrate assessment projects machine","microsoft.migrate assessment projects machines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/machines.svg",""
"microsoft.migrate/assessmentprojects/privateendpointconnections","Microsoft.Migrate assessment projects private endpoint connection","Microsoft.Migrate assessment projects private endpoint connections","microsoft.migrate assessment projects private endpoint connection","microsoft.migrate assessment projects private endpoint connections","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/privateendpointconnections.svg",""
"microsoft.migrate/assessmentprojects/privatelinkresources","Microsoft.Migrate assessment projects private link resource","Microsoft.Migrate assessment projects private link resources","microsoft.migrate assessment projects private link resource","microsoft.migrate assessment projects private link resources","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.migrate/assessmentprojects/privatelinkresources.svg",""
